"filename", "language", "MSBuild", "C#", "Properties", "JSON", "comment", "blank", "total"
"c:\Users\Павел\Desktop\ProfUnion\obj\Debug\net7.0\.NETCoreApp,Version=v7.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 1, 1, 5
"c:\Users\Павел\Desktop\ProfUnion\obj\Debug\net7.0\Profunion.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 10, 5, 24
"c:\Users\Павел\Desktop\ProfUnion\obj\Debug\net7.0\Profunion.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 17, 0, 0, 1, 18
"c:\Users\Павел\Desktop\ProfUnion\obj\Debug\net7.0\Profunion.GlobalUsings.g.cs", "C#", 0, 16, 0, 0, 1, 1, 18
"c:\Users\Павел\Desktop\ProfUnion\obj\Debug\net7.0\Profunion.MvcApplicationPartsAssemblyInfo.cs", "C#", 0, 4, 0, 0, 10, 5, 19
"c:\Users\Павел\Desktop\ProfUnion\obj\Debug\net7.0\staticwebassets.build.json", "JSON", 0, 0, 0, 11, 0, 0, 11
"c:\Users\Павел\Desktop\ProfUnion\obj\Debug\net7.0\staticwebassets\msbuild.build.Profunion.props", "MSBuild", 3, 0, 0, 0, 0, 0, 3
"c:\Users\Павел\Desktop\ProfUnion\obj\Debug\net7.0\staticwebassets\msbuild.buildMultiTargeting.Profunion.props", "MSBuild", 3, 0, 0, 0, 0, 0, 3
"c:\Users\Павел\Desktop\ProfUnion\obj\Debug\net7.0\staticwebassets\msbuild.buildTransitive.Profunion.props", "MSBuild", 3, 0, 0, 0, 0, 0, 3
"c:\Users\Павел\Desktop\ProfUnion\obj\Profunion.csproj.EntityFrameworkCore.targets", "MSBuild", 28, 0, 0, 0, 0, 1, 29
"c:\Users\Павел\Desktop\ProfUnion\obj\Profunion.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, 161, 0, 0, 161
"c:\Users\Павел\Desktop\ProfUnion\obj\Profunion.csproj.nuget.g.props", "MSBuild", 26, 0, 0, 0, 0, 0, 26
"c:\Users\Павел\Desktop\ProfUnion\obj\Profunion.csproj.nuget.g.targets", "MSBuild", 8, 0, 0, 0, 0, 0, 8
"c:\Users\Павел\Desktop\ProfUnion\obj\project.assets.json", "JSON", 0, 0, 0, 6622, 0, 0, 6622
"Total", "-", 71, 32, 17, 6794, 22, 14, 6950
