"filename", "language", "C#", "MSBuild", "JSON", "comment", "blank", "total"
"c:\Users\Павел\Desktop\ProfUnion\Controllers\ApplicationController\applicationController.cs", "C#", 12, 0, 0, 6, -2, 16
"c:\Users\Павел\Desktop\ProfUnion\Controllers\CategoryController\categoryController.cs", "C#", 2, 0, 0, 0, 0, 2
"c:\Users\Павел\Desktop\ProfUnion\Controllers\EventControllers\eventController.cs", "C#", 10, 0, 0, -1, 2, 11
"c:\Users\Павел\Desktop\ProfUnion\Controllers\ReservationListControllers\reservationController.cs", "C#", 7, 0, 0, 0, 1, 8
"c:\Users\Павел\Desktop\ProfUnion\Controllers\UserControllers\Authentifications.cs", "C#", -4, 0, 0, 4, 0, 0
"c:\Users\Павел\Desktop\ProfUnion\Controllers\UserControllers\UsersController.cs", "C#", -2, 0, 0, 0, -3, -5
"c:\Users\Павел\Desktop\ProfUnion\Controllers\uploadsController\uploadsController.cs", "C#", -8, 0, 0, 10, -2, 0
"c:\Users\Павел\Desktop\ProfUnion\Data\DataContext.cs", "C#", 7, 0, 0, 0, 2, 9
"c:\Users\Павел\Desktop\ProfUnion\Dto\EventDto\CreateEventDto.cs", "C#", -3, 0, 0, 1, 0, -2
"c:\Users\Павел\Desktop\ProfUnion\Dto\EventDto\GetEventDto.cs", "C#", -2, 0, 0, 2, 1, 1
"c:\Users\Павел\Desktop\ProfUnion\Interfaces\ApplicationInterface\IApplicationRepository.cs", "C#", 2, 0, 0, 0, 0, 2
"c:\Users\Павел\Desktop\ProfUnion\Interfaces\FileInterface\IFileRepository.cs", "C#", 0, 0, 0, 0, 1, 1
"c:\Users\Павел\Desktop\ProfUnion\Models\Events\Event.cs", "C#", 4, 0, 0, 1, 0, 5
"c:\Users\Павел\Desktop\ProfUnion\Models\UserModels\User.cs", "C#", -2, 0, 0, 2, 0, 0
"c:\Users\Павел\Desktop\ProfUnion\Models\uploadsModels\EntityUploads.cs", "C#", -14, 0, 0, 18, -4, 0
"c:\Users\Павел\Desktop\ProfUnion\Models\uploadsModels\EventUploads.cs", "C#", 12, 0, 0, 0, 3, 15
"c:\Users\Павел\Desktop\ProfUnion\Profunion.csproj", "MSBuild", 0, 2, 0, 0, 1, 3
"c:\Users\Павел\Desktop\ProfUnion\Program.cs", "C#", -6, 0, 0, 0, 2, -4
"c:\Users\Павел\Desktop\ProfUnion\Services\AdditionalServices\Helpers.cs", "C#", 34, 0, 0, 0, 8, 42
"c:\Users\Павел\Desktop\ProfUnion\Services\AdditionalServices\MiddlewareConfiguration.cs", "C#", 2, 0, 0, 0, 1, 3
"c:\Users\Павел\Desktop\ProfUnion\Services\ApplicationServices\ApplicationRepository.cs", "C#", 39, 0, 0, 6, 4, 49
"c:\Users\Павел\Desktop\ProfUnion\Services\EventServices\EventRepository.cs", "C#", -6, 0, 0, 6, 0, 0
"c:\Users\Павел\Desktop\ProfUnion\Services\FileServices\FileRepository.cs", "C#", 4, 0, 0, 0, -2, 2
"c:\Users\Павел\Desktop\ProfUnion\Services\UserServices\GenerateMultipleJWT.cs", "C#", -11, 0, 0, 0, 0, -11
"c:\Users\Павел\Desktop\ProfUnion\Services\UserServices\UserRepository.cs", "C#", -1, 0, 0, 0, 1, 0
"c:\Users\Павел\Desktop\ProfUnion\bin\Debug\net7.0\Profunion.deps.json", "JSON", 0, 0, 2, 0, 0, 2
"c:\Users\Павел\Desktop\ProfUnion\obj\Profunion.csproj.nuget.dgspec.json", "JSON", 0, 0, 8, 0, 0, 8
"c:\Users\Павел\Desktop\ProfUnion\obj\project.assets.json", "JSON", 0, 0, 12, 0, 0, 12
"Total", "-", 76, 2, 22, 55, 14, 169
