"filename", "language", "C#", "Solution File", "MSBuild", "JSON", "Properties", "SQL", "comment", "blank", "total"
"c:\Users\Павел\Desktop\ProfUnion\Controllers\ApplicationController\applicationController.cs", "C#", 210, 0, 0, 0, 0, 0, 17, 56, 283
"c:\Users\Павел\Desktop\ProfUnion\Controllers\CategoryController\categoryController.cs", "C#", 92, 0, 0, 0, 0, 0, 9, 25, 126
"c:\Users\Павел\Desktop\ProfUnion\Controllers\EventControllers\eventController.cs", "C#", 164, 0, 0, 0, 0, 0, 11, 50, 225
"c:\Users\Павел\Desktop\ProfUnion\Controllers\ReservationListControllers\reservationController.cs", "C#", 114, 0, 0, 0, 0, 0, 26, 31, 171
"c:\Users\Павел\Desktop\ProfUnion\Controllers\UserControllers\Authentifications.cs", "C#", 176, 0, 0, 0, 0, 0, 8, 55, 239
"c:\Users\Павел\Desktop\ProfUnion\Controllers\UserControllers\UsersController.cs", "C#", 128, 0, 0, 0, 0, 0, 7, 32, 167
"c:\Users\Павел\Desktop\ProfUnion\Controllers\uploadsController\uploadsController.cs", "C#", 18, 0, 0, 0, 0, 0, 10, 4, 32
"c:\Users\Павел\Desktop\ProfUnion\DBProfUnion.sql", "SQL", 0, 0, 0, 0, 0, 97, 0, 17, 114
"c:\Users\Павел\Desktop\ProfUnion\Data\DataContext.cs", "C#", 124, 0, 0, 0, 0, 0, 0, 40, 164
"c:\Users\Павел\Desktop\ProfUnion\Data\MessagesContext.cs", "C#", 26, 0, 0, 0, 0, 0, 0, 12, 38
"c:\Users\Павел\Desktop\ProfUnion\Dto\ApplicationDto\CreateApplicationDto.cs", "C#", 10, 0, 0, 0, 0, 0, 1, 2, 13
"c:\Users\Павел\Desktop\ProfUnion\Dto\ApplicationDto\CreateRejectedApplicationDto.cs", "C#", 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Павел\Desktop\ProfUnion\Dto\ApplicationDto\GetApplicationDto.cs", "C#", 18, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\Павел\Desktop\ProfUnion\Dto\ApplicationDto\GetRejectedApplicationDto.cs", "C#", 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\Павел\Desktop\ProfUnion\Dto\ApplicationDto\UpdateApplicationDto.cs", "C#", 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\Павел\Desktop\ProfUnion\Dto\AuthDto\LoginResponseDto.cs", "C#", 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Павел\Desktop\ProfUnion\Dto\AuthDto\LoginUserDto.cs", "C#", 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Павел\Desktop\ProfUnion\Dto\AuthDto\RegisterDto.cs", "C#", 14, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Павел\Desktop\ProfUnion\Dto\AuthDto\UpdateAccessTokenDto.cs", "C#", 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Павел\Desktop\ProfUnion\Dto\CategoryDto\CategoriesDto.cs", "C#", 10, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Павел\Desktop\ProfUnion\Dto\CategoryDto\CreateCategoriesDto.cs", "C#", 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Павел\Desktop\ProfUnion\Dto\EventDto\CreateEventDto.cs", "C#", 16, 0, 0, 0, 0, 0, 1, 3, 20
"c:\Users\Павел\Desktop\ProfUnion\Dto\EventDto\DeleteEventDto.cs", "C#", 10, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Павел\Desktop\ProfUnion\Dto\EventDto\GetEventDto.cs", "C#", 18, 0, 0, 0, 0, 0, 2, 5, 25
"c:\Users\Павел\Desktop\ProfUnion\Dto\EventDto\UpdateEventDto.cs", "C#", 19, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\Павел\Desktop\ProfUnion\Dto\ReservationDto\CreateReservationDto.cs", "C#", 11, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\Павел\Desktop\ProfUnion\Dto\ReservationDto\GetReservationDto.cs", "C#", 18, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\Павел\Desktop\ProfUnion\Dto\ReservationDto\UpdateReservationDto.cs", "C#", 10, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Павел\Desktop\ProfUnion\Dto\UploadsDto\CreateUploadsDto.cs", "C#", 10, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Павел\Desktop\ProfUnion\Dto\UserDto\GetUserDto.cs", "C#", 17, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\Павел\Desktop\ProfUnion\Dto\UserDto\GetUserForActionsDto.cs", "C#", 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Павел\Desktop\ProfUnion\Dto\UserDto\ReturnRoleDto.cs", "C#", 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Павел\Desktop\ProfUnion\Dto\UserDto\UpdateUserDto.cs", "C#", 16, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\Павел\Desktop\ProfUnion\Dto\UserDto\UserDto.cs", "C#", 16, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\Павел\Desktop\ProfUnion\Helper\MappingBooking.cs", "C#", 22, 0, 0, 0, 0, 0, 0, 15, 37
"c:\Users\Павел\Desktop\ProfUnion\Helper\MappingCategories.cs", "C#", 16, 0, 0, 0, 0, 0, 0, 7, 23
"c:\Users\Павел\Desktop\ProfUnion\Helper\MappingEvents.cs", "C#", 23, 0, 0, 0, 0, 0, 0, 7, 30
"c:\Users\Павел\Desktop\ProfUnion\Helper\MappingProfiles.cs", "C#", 26, 0, 0, 0, 0, 0, 0, 9, 35
"c:\Users\Павел\Desktop\ProfUnion\Helper\MappingReservation.cs", "C#", 18, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Users\Павел\Desktop\ProfUnion\Helper\MappingUploads.cs", "C#", 14, 0, 0, 0, 0, 0, 0, 6, 20
"c:\Users\Павел\Desktop\ProfUnion\Interfaces\ApplicationInterface\IApplicationRepository.cs", "C#", 16, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\Павел\Desktop\ProfUnion\Interfaces\ApplicationInterface\IRejectedApplicationRepository.cs", "C#", 14, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\Павел\Desktop\ProfUnion\Interfaces\CategoryInterface\ICategoriesRepository.cs", "C#", 14, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\Павел\Desktop\ProfUnion\Interfaces\Communications\ICommentRepository.cs", "C#", 12, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Павел\Desktop\ProfUnion\Interfaces\EventInterface\IEventRepository.cs", "C#", 17, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\Павел\Desktop\ProfUnion\Interfaces\EventInterface\IReservationList.cs", "C#", 17, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\Павел\Desktop\ProfUnion\Interfaces\FileInterface\IFileRepository.cs", "C#", 7, 0, 0, 0, 0, 0, 0, 4, 11
