"filename", "language", "MSBuild", "C#", "JSON", "comment", "blank", "total"
"c:\Users\Павел\Desktop\ProfUnion\Controllers\ApplicationController\applicationController.cs", "C#", 0, -5, 0, 7, -1, 1
"c:\Users\Павел\Desktop\ProfUnion\Controllers\CategoryController\categoryController.cs", "C#", 0, -3, 0, -2, -6, -11
"c:\Users\Павел\Desktop\ProfUnion\Controllers\EventControllers\eventController.cs", "C#", 0, -10, 0, -6, -7, -23
"c:\Users\Павел\Desktop\ProfUnion\Controllers\ReservationListControllers\reservationController.cs", "C#", 0, -7, 0, 16, -4, 5
"c:\Users\Павел\Desktop\ProfUnion\Controllers\UserControllers\Authentifications.cs", "C#", 0, -15, 0, -3, -12, -30
"c:\Users\Павел\Desktop\ProfUnion\Controllers\UserControllers\UsersController.cs", "C#", 0, -12, 0, -7, -3, -22
"c:\Users\Павел\Desktop\ProfUnion\Controllers\newsController\newsController.cs", "C#", 0, 98, 0, 23, 29, 150
"c:\Users\Павел\Desktop\ProfUnion\Controllers\reportController\reportController.cs", "C#", 0, 31, 0, 1, 5, 37
"c:\Users\Павел\Desktop\ProfUnion\Controllers\uploadsController\uploadController.cs", "C#", 0, 59, 0, 4, 14, 77
"c:\Users\Павел\Desktop\ProfUnion\Controllers\uploadsController\uploadsController.cs", "C#", 0, -18, 0, -10, -4, -32
"c:\Users\Павел\Desktop\ProfUnion\Data\DataContext.cs", "C#", 0, -13, 0, 37, -2, 22
"c:\Users\Павел\Desktop\ProfUnion\Dto\EventDto\CreateEventDto.cs", "C#", 0, 2, 0, -1, 6, 7
"c:\Users\Павел\Desktop\ProfUnion\Dto\EventDto\GetEventDto.cs", "C#", 0, 4, 0, -2, -1, 1
"c:\Users\Павел\Desktop\ProfUnion\Dto\EventDto\UpdateEventDto.cs", "C#", 0, 1, 0, 0, 0, 1
"c:\Users\Павел\Desktop\ProfUnion\Dto\NewsDto\CreateNewsDto.cs", "C#", 0, 9, 0, 1, 2, 12
"c:\Users\Павел\Desktop\ProfUnion\Dto\NewsDto\GetNewsDto.cs", "C#", 0, 11, 0, 1, 1, 13
"c:\Users\Павел\Desktop\ProfUnion\Dto\NewsDto\UpdateNewsDto.cs", "C#", 0, 9, 0, 0, 1, 10
"c:\Users\Павел\Desktop\ProfUnion\Dto\UploadsDto\GetUploadsDto.cs", "C#", 0, 8, 0, 0, 3, 11
"c:\Users\Павел\Desktop\ProfUnion\Dto\UserDto\GetUserDto.cs", "C#", 0, -1, 0, 0, 0, -1
"c:\Users\Павел\Desktop\ProfUnion\Dto\UserDto\GetUserForActionsDto.cs", "C#", 0, -11, 0, 0, -2, -13
"c:\Users\Павел\Desktop\ProfUnion\Helper\MappingNews.cs", "C#", 0, 16, 0, 0, 5, 21
"c:\Users\Павел\Desktop\ProfUnion\Helper\MappingProfiles.cs", "C#", 0, -2, 0, 0, -1, -3
"c:\Users\Павел\Desktop\ProfUnion\Interfaces\EventInterface\IEventRepository.cs", "C#", 0, -1, 0, 1, 0, 0
"c:\Users\Павел\Desktop\ProfUnion\Interfaces\EventInterface\IReservationList.cs", "C#", 0, 1, 0, 0, 0, 1
"c:\Users\Павел\Desktop\ProfUnion\Interfaces\FileInterface\IFileRepository.cs", "C#", 0, 5, 0, 0, 1, 6
"c:\Users\Павел\Desktop\ProfUnion\Interfaces\NewsInterface\INewsRepository.cs", "C#", 0, 14, 0, 0, 5, 19
"c:\Users\Павел\Desktop\ProfUnion\Interfaces\ReportInterface\IReportRepository.cs", "C#", 0, 7, 0, 0, 1, 8
"c:\Users\Павел\Desktop\ProfUnion\Models\Application\Application.cs", "C#", 0, 2, 0, 0, 0, 2
"c:\Users\Павел\Desktop\ProfUnion\Models\Application\RejectedApplication.cs", "C#", 0, 3, 0, 0, 0, 3
"c:\Users\Павел\Desktop\ProfUnion\Models\Category\Categories.cs", "C#", 0, 2, 0, 0, 1, 3
"c:\Users\Павел\Desktop\ProfUnion\Models\Events\Event.cs", "C#", 0, 1, 0, 1, 0, 2
"c:\Users\Павел\Desktop\ProfUnion\Models\Events\ReservationList.cs", "C#", 0, 5, 0, 0, 0, 5
"c:\Users\Павел\Desktop\ProfUnion\Models\NewsModel\News.cs", "C#", 0, 18, 0, 2, 5, 25
"c:\Users\Павел\Desktop\ProfUnion\Models\uploadsModels\EntityUploads.cs", "C#", 0, 0, 0, -18, 0, -18
"c:\Users\Павел\Desktop\ProfUnion\Models\uploadsModels\EventUploads.cs", "C#", 0, -12, 0, 15, -3, 0
"c:\Users\Павел\Desktop\ProfUnion\Models\uploadsModels\NewsUploads.cs", "C#", 0, 0, 0, 16, 0, 16
"c:\Users\Павел\Desktop\ProfUnion\Models\uploadsModels\Uploads.cs", "C#", 0, 0, 0, 2, -1, 1
"c:\Users\Павел\Desktop\ProfUnion\Profunion.csproj", "MSBuild", 4, 0, 0, 0, 0, 4
"c:\Users\Павел\Desktop\ProfUnion\Program.cs", "C#", 0, 8, 0, 0, 1, 9
"c:\Users\Павел\Desktop\ProfUnion\Services\AdditionalServices\Filtration.cs", "C#", 0, -44, 0, -25, -9, -78
"c:\Users\Павел\Desktop\ProfUnion\Services\AdditionalServices\Helpers.cs", "C#", 0, 91, 0, 1, 23, 115
"c:\Users\Павел\Desktop\ProfUnion\Services\AdditionalServices\MiddlewareConfiguration.cs", "C#", 0, -36, 0, 0, -14, -50
"c:\Users\Павел\Desktop\ProfUnion\Services\AdditionalServices\VerifyAccess.cs", "C#", 0, -39, 0, 0, -8, -47
"c:\Users\Павел\Desktop\ProfUnion\Services\ApplicationServices\ApplicationRepository.cs", "C#", 0, 1, 0, 0, 0, 1
"c:\Users\Павел\Desktop\ProfUnion\Services\CategoryServices\CategoriesRepository.cs", "C#", 0, 0, 0, 0, 1, 1
"c:\Users\Павел\Desktop\ProfUnion\Services\EventServices\EventRepository.cs", "C#", 0, 5, 0, -8, 1, -2
"c:\Users\Павел\Desktop\ProfUnion\Services\EventServices\ReservationListRepository.cs", "C#", 0, 4, 0, 0, -1, 3
"c:\Users\Павел\Desktop\ProfUnion\Services\FileServices\FileRepository.cs", "C#", 0, 56, 0, 0, 17, 73
"c:\Users\Павел\Desktop\ProfUnion\Services\NewsService\NewsRepository.cs", "C#", 0, 77, 0, 0, 15, 92
"c:\Users\Павел\Desktop\ProfUnion\Services\ReportService\ReportRepository.cs", "C#", 0, 137, 0, 9, 26, 172
"c:\Users\Павел\Desktop\ProfUnion\Services\UserServices\GenerateMultipleJWT.cs", "C#", 0, 0, 0, 9, 1, 10
"c:\Users\Павел\Desktop\ProfUnion\Services\UserServices\UserRepository.cs", "C#", 0, 6, 0, 1, 0, 7
"c:\Users\Павел\Desktop\ProfUnion\bin\Debug\net7.0\Profunion.deps.json", "JSON", 0, 0, 108, 0, 0, 108
