"filename", "language", "JSON", "Solution File", "C#", "MSBuild", "Properties", "SQL", "comment", "blank", "total"
"c:\Users\Павел\Desktop\ProfUnion\Controllers\ApplicationController\applicationController.cs", "C#", 0, 0, 205, 0, 0, 0, 24, 55, 284
"c:\Users\Павел\Desktop\ProfUnion\Controllers\CategoryController\categoryController.cs", "C#", 0, 0, 89, 0, 0, 0, 7, 19, 115
"c:\Users\Павел\Desktop\ProfUnion\Controllers\EventControllers\eventController.cs", "C#", 0, 0, 154, 0, 0, 0, 5, 43, 202
"c:\Users\Павел\Desktop\ProfUnion\Controllers\ReservationListControllers\reservationController.cs", "C#", 0, 0, 107, 0, 0, 0, 42, 27, 176
"c:\Users\Павел\Desktop\ProfUnion\Controllers\UserControllers\Authentifications.cs", "C#", 0, 0, 161, 0, 0, 0, 5, 43, 209
"c:\Users\Павел\Desktop\ProfUnion\Controllers\UserControllers\UsersController.cs", "C#", 0, 0, 116, 0, 0, 0, 0, 29, 145
"c:\Users\Павел\Desktop\ProfUnion\Controllers\newsController\newsController.cs", "C#", 0, 0, 98, 0, 0, 0, 23, 29, 150
"c:\Users\Павел\Desktop\ProfUnion\Controllers\reportController\reportController.cs", "C#", 0, 0, 31, 0, 0, 0, 1, 5, 37
"c:\Users\Павел\Desktop\ProfUnion\Controllers\uploadsController\uploadController.cs", "C#", 0, 0, 59, 0, 0, 0, 4, 14, 77
"c:\Users\Павел\Desktop\ProfUnion\DBProfUnion.sql", "SQL", 0, 0, 0, 0, 0, 97, 0, 17, 114
"c:\Users\Павел\Desktop\ProfUnion\Data\DataContext.cs", "C#", 0, 0, 111, 0, 0, 0, 37, 38, 186
"c:\Users\Павел\Desktop\ProfUnion\Data\MessagesContext.cs", "C#", 0, 0, 26, 0, 0, 0, 0, 12, 38
"c:\Users\Павел\Desktop\ProfUnion\Dto\ApplicationDto\CreateApplicationDto.cs", "C#", 0, 0, 10, 0, 0, 0, 1, 2, 13
"c:\Users\Павел\Desktop\ProfUnion\Dto\ApplicationDto\CreateRejectedApplicationDto.cs", "C#", 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\Павел\Desktop\ProfUnion\Dto\ApplicationDto\GetApplicationDto.cs", "C#", 0, 0, 18, 0, 0, 0, 0, 3, 21
"c:\Users\Павел\Desktop\ProfUnion\Dto\ApplicationDto\GetRejectedApplicationDto.cs", "C#", 0, 0, 13, 0, 0, 0, 0, 2, 15
"c:\Users\Павел\Desktop\ProfUnion\Dto\ApplicationDto\UpdateApplicationDto.cs", "C#", 0, 0, 13, 0, 0, 0, 0, 2, 15
