"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\Павел\Desktop\ProfUnion\Services\AdditionalServices\CascadeDeleteMethods.cs", "C#", 101, 1, 18, 120
"c:\Users\Павел\Desktop\ProfUnion\Services\AdditionalServices\GlobalConnectionsNamespace.cs", "C#", 37, 0, 3, 40
"c:\Users\Павел\Desktop\ProfUnion\Services\AdditionalServices\Helpers.cs", "C#", 60, 0, 19, 79
"c:\Users\Павел\Desktop\ProfUnion\Services\ApplicationServices\ApplicationRepository.cs", "C#", 97, 2, 17, 116
"c:\Users\Павел\Desktop\ProfUnion\Services\ApplicationServices\ApplicationService.cs", "C#", 132, 2, 36, 170
"c:\Users\Павел\Desktop\ProfUnion\Services\ApplicationServices\RejectedApplicationRepository .cs", "C#", 43, 1, 9, 53
"c:\Users\Павел\Desktop\ProfUnion\Services\CacheServices\CacheMemory.cs", "C#", 27, 0, 7, 34
"c:\Users\Павел\Desktop\ProfUnion\Services\CategoryServices\CategoriesRepository.cs", "C#", 44, 0, 15, 59
"c:\Users\Павел\Desktop\ProfUnion\Services\CategoryServices\CategoriesService.cs", "C#", 48, 0, 13, 61
"c:\Users\Павел\Desktop\ProfUnion\Services\CommunicationsServicres\Comment.cs", "C#", 31, 0, 5, 36
"c:\Users\Павел\Desktop\ProfUnion\Services\EventServices\EventRepository.cs", "C#", 115, 0, 23, 138
"c:\Users\Павел\Desktop\ProfUnion\Services\EventServices\EventService.cs", "C#", 145, 0, 37, 182
"c:\Users\Павел\Desktop\ProfUnion\Services\FileServices\FileRepository.cs", "C#", 74, 4, 25, 103
"c:\Users\Павел\Desktop\ProfUnion\Services\FileServices\FileService.cs", "C#", 16, 0, 3, 19
"c:\Users\Павел\Desktop\ProfUnion\Services\MailServices\EmailSender.cs", "C#", 99, 0, 20, 119
"c:\Users\Павел\Desktop\ProfUnion\Services\MessagesServices\MessagesRepository.cs", "C#", 29, 0, 6, 35
"c:\Users\Павел\Desktop\ProfUnion\Services\MessagesServices\WebSocketManagerMiddleware.cs", "C#", 87, 1, 15, 103
"c:\Users\Павел\Desktop\ProfUnion\Services\NewsServices\NewsRepository.cs", "C#", 92, 0, 15, 107
"c:\Users\Павел\Desktop\ProfUnion\Services\NewsServices\NewsService.cs", "C#", 110, 0, 27, 137
"c:\Users\Павел\Desktop\ProfUnion\Services\ReportService\ExcelReport.cs", "C#", 43, 0, 10, 53
"c:\Users\Павел\Desktop\ProfUnion\Services\ReportService\ReportRepository.cs", "C#", 135, 4, 30, 169
"c:\Users\Павел\Desktop\ProfUnion\Services\ReservationServices\ReservationListRepository.cs", "C#", 105, 1, 16, 122
"c:\Users\Павел\Desktop\ProfUnion\Services\ReservationServices\ReservationService.cs", "C#", 75, 4, 24, 103
"c:\Users\Павел\Desktop\ProfUnion\Services\UserServices\AuthentificationsService.cs", "C#", 72, 0, 19, 91
"c:\Users\Павел\Desktop\ProfUnion\Services\UserServices\GenerateMultipleJWT.cs", "C#", 69, 11, 21, 101
"c:\Users\Павел\Desktop\ProfUnion\Services\UserServices\HashingPassword.cs", "C#", 43, 2, 8, 53
"c:\Users\Павел\Desktop\ProfUnion\Services\UserServices\UserRepository.cs", "C#", 117, 0, 28, 145
"c:\Users\Павел\Desktop\ProfUnion\Services\UserServices\UserService.cs", "C#", 79, 0, 28, 107
"Total", "-", 2125, 33, 497, 2655
